"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"394175","448053","1740.58",".00",".00",".00",".00","1740.58",".00","1740.58",".00","1740.58",".00",".00",".00","1740.58",".00","1740.58","1740.58",".00","1740.58","1740.58",".00","","{9E5996A6-CE9E-0B2E-2F43-BC4F5E26CA18}"
"423173","486675","180.63","1825.00",".00",".00","1825.00","2005.63","633.62",".00",".00","633.62","1372.01",".00",".00","2047.70","1825.00","3872.70","3872.70","1867.07","633.62","2500.69","1372.01","","{26FBD64F-CCAC-F000-441B-D1457F71AF4D}"
"423175","486677","366.86",".00",".00",".00",".00","366.86",".00",".00",".00",".00","366.86",".00",".00","30725.70",".00","30725.70","30725.70","30358.84",".00","30358.84","366.86","","{0F646CDB-9A58-4A4D-2D64-23EC58A25D18}"
"423176","486678","366.86",".00",".00",".00",".00","366.86",".00",".00",".00",".00","366.86",".00","366.86",".00",".00",".00","366.86",".00",".00",".00","366.86","","{C14AC1E4-51B1-DB59-6F09-61908E9EF716}"
"423178","486680","366.86","5.00",".00",".00","5.00","371.86","14.00",".00",".00","14.00","357.86",".00","366.86",".00","5.00","5.00","371.86",".00","14.00","14.00","357.86","","{1EFBC158-02B0-0DFB-7EF9-4D0E998D9D31}"
"427293","491116","802.78","3762.16",".00",".00","3762.16","4564.94","264.94","4300.00",".00","4564.94",".00",".00","802.78",".00","3762.16","3762.16","4564.94",".00","4564.94","4564.94",".00","","{5A24E1D1-4E55-9E03-8670-FAE2ED70596E}"
"427437","491311",".00","2918.52",".00",".00","2918.52","2918.52","1431.10",".00",".00","1431.10","1487.42",".00",".00","43.16","2918.52","2961.68","2961.68","43.16","1431.10","1474.26","1487.42","","{8A870355-9E1A-CDB3-B40F-1175287670DD}"
"427438","491312","301.59",".00",".00",".00",".00","301.59",".00",".00",".00",".00","301.59",".00","301.59",".00",".00",".00","301.59",".00",".00",".00","301.59","","{06C0998A-CCDE-177F-309A-B29958667FA2}"
"427443","491317","25836.03",".00","223.00",".00","223.00","26059.03","5098.32",".00",".00","5098.32","20960.71",".00","25836.03",".00","223.00","223.00","26059.03",".00","5098.32","5098.32","20960.71","","{A1CCA906-BE68-9FB7-7B42-E7C2969BBBA2}"
"427444","491318","7325.88","3085.00",".00",".00","3085.00","10410.88","2094.85",".00",".00","2094.85","8316.03",".00","1551.54","7895.96","3085.00","10980.96","12532.50","2121.62","2094.85","4216.47","8316.03","","{D0D33792-4894-CE8B-0940-3E8EB380E34D}"
"427447","491321","234.00",".00",".00",".00",".00","234.00",".00",".00",".00",".00","234.00","300.00",".00","300.00",".00","300.00","300.00","66.00",".00","66.00","234.00","","{18B6CC11-E423-25FD-AA65-04940CD7495A}"
"427448","491322","800.90",".00",".00","20.00","20.00","820.90","20.00",".00",".00","20.00","800.90","40900.69","1091.30","40.00","20.00","60.00","1151.30","330.40","20.00","350.40","800.90","","{5B6EA1D3-08AF-5FE0-1DC4-F105B3F281B9}"
"427449","491323","500.00",".00",".00",".00",".00","500.00",".00",".00",".00",".00","500.00",".00",".00","500.00",".00","500.00","500.00",".00",".00",".00","500.00","","{23F49E78-7A82-3421-FC7B-C90A9FA50474}"
"427450","491324","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00","100.00",".00","100.00",".00","100.00","100.00",".00",".00",".00","100.00","","{8C7FCD9C-C40B-DEC0-029F-2F62A48A95A3}"
"427452","491326","295.71",".00",".00",".00",".00","295.71",".00",".00",".00",".00","295.71",".00","155.71","150.00",".00","150.00","305.71","10.00",".00","10.00","295.71","","{C683D049-D196-AD5E-967A-9D75BF15B7D6}"
"427454","491328","628.08",".00",".00",".00",".00","628.08",".00",".00",".00",".00","628.08",".00","686.48",".00",".00",".00","686.48","58.40",".00","58.40","628.08","","{CD525785-8245-09BB-F927-E48220FF7527}"
"427455","491329","489.83",".00",".00",".00",".00","489.83",".00",".00",".00",".00","489.83",".00","489.83",".00",".00",".00","489.83",".00",".00",".00","489.83","","{362BC56B-BF50-0EE2-4FCB-72E6D316B80D}"
"427456","491330",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{6DC99DA0-4E7A-1E86-F173-16B2911E3545}"
"427457","491331","120.30",".00",".00",".00",".00","120.30",".00",".00",".00",".00","120.30","175.00","110.30","82.00",".00","82.00","192.30","72.00",".00","72.00","120.30","","{E9A43573-636C-40FE-3AD9-52E4C8035BAF}"
"427458","491332","120.30",".00",".00",".00",".00","120.30",".00",".00",".00",".00","120.30","175.00","110.30","82.00",".00","82.00","192.30","72.00",".00","72.00","120.30","","{E9A43573-636C-40FE-3AD9-52E4C8035BAF}"
"427461","491335",".00","5.00",".00",".00","5.00","5.00",".00",".00",".00",".00","5.00",".00",".00",".00","5.00","5.00","5.00",".00",".00",".00","5.00","","{6DC99DA0-4E7A-1E86-F173-16B2911E3545}"
"427462","491337","875.85","1000.00",".00",".00","1000.00","1875.85",".00",".00",".00",".00","1875.85",".00","1517.07",".00","1000.00","1000.00","2517.07","641.22",".00","641.22","1875.85","","{62A6180C-E526-5CB4-4AF3-13C347528CC6}"
"427465","491340",".00","55.00",".00",".00","55.00","55.00",".00",".00",".00",".00","55.00",".00",".00",".00","55.00","55.00","55.00",".00",".00",".00","55.00","","{7724AE1B-4BE5-87BC-D52D-488EA589196F}"
"427466","491341","8648.55",".00",".00",".00",".00","8648.55",".00",".00",".00",".00","8648.55","7767.43","8648.55",".00",".00",".00","8648.55",".00",".00",".00","8648.55","","{581EBCDD-59EE-631B-2A00-FF3A3D4F9620}"
"427468","491343","267.46",".00",".00",".00",".00","267.46","162.00",".00",".00","162.00","105.46",".00","291.46",".00",".00",".00","291.46","24.00","162.00","186.00","105.46","","{4675B6A5-41D5-88AC-8A6B-FF3F2ECC5021}"
"427469","491344","2262.13",".00",".00",".00",".00","2262.13",".00",".00",".00",".00","2262.13",".00","2568.13",".00",".00",".00","2568.13","306.00",".00","306.00","2262.13","","{F8906505-9AE6-CE57-9EF0-18B754884245}"
"427471","491346","48.97",".00",".00",".00",".00","48.97",".00",".00",".00",".00","48.97",".00","48.97",".00",".00",".00","48.97",".00",".00",".00","48.97","","{E9E24100-F0F9-794A-52B0-ED44E39DF7EE}"
"427472","491347","7077.23","8705.00",".00",".00","8705.00","15782.23","2906.13",".00",".00","2906.13","12876.10",".00","25.00","11805.48","8705.00","20510.48","20535.48","4753.25","2906.13","7659.38","12876.10","","{04F15C6E-F4C2-7B8A-59C1-EC1F6715EBCE}"
"427474","491349",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5A40AF08-6276-CB26-3FC9-DE2413FAC4EC}"
"427476","491351","371.51",".00",".00",".00",".00","371.51",".00",".00",".00",".00","371.51",".00","351.51","111.36",".00","111.36","462.87","91.36",".00","91.36","371.51","","{CD42FB4E-F1E4-28EE-CBB7-F608960277CE}"
"427477","491352","298.42",".00",".00",".00",".00","298.42",".00","298.42",".00","298.42",".00","1476.58","298.42",".00",".00",".00","298.42",".00","298.42","298.42",".00","","{91EE0E6B-4E95-B403-5E15-9DFC4272D601}"
"427478","491353","57647.30","3600.00",".00",".00","3600.00","61247.30","1049.67",".00",".00","1049.67","60197.63",".00","56133.61","4395.91","3600.00","7995.91","64129.52","2882.22","1049.67","3931.89","60197.63","","{ABB9B3DE-BDED-83AC-ACB8-6F2495F58B00}"
"427480","491355","33.16",".00",".00",".00",".00","33.16",".00",".00",".00",".00","33.16",".00","33.16",".00",".00",".00","33.16",".00",".00",".00","33.16","","{E374185F-43E6-996A-DAF4-CE800DBF7D4D}"
"427483","491358","753.20","1816.25",".00",".00","1816.25","2569.45","1675.92",".00",".00","1675.92","893.53",".00","994.21","1041.52","1816.25","2857.77","3851.98","1282.53","1675.92","2958.45","893.53","","{4919A7DC-F21F-7B79-FDDF-8890F76AD98A}"
"427485","491360","2.72",".00",".00",".00",".00","2.72",".00",".00",".00",".00","2.72",".00",".00","3180.00",".00","3180.00","3180.00","3177.28",".00","3177.28","2.72","","{58FEC6FB-30EC-8933-FC1A-2B3B97A6C428}"
"427487","491362","13179.99","3836.00",".00",".00","3836.00","17015.99","3107.94",".00",".00","3107.94","13908.05",".00","950.44","17050.00","3836.00","20886.00","21836.44","4820.45","3107.94","7928.39","13908.05","","{909880A4-FC13-6989-12D6-027E0054491F}"
"427488","491363","1097.08",".00",".00",".00",".00","1097.08",".00",".00",".00",".00","1097.08","31165.90","1197.08",".00",".00",".00","1197.08","100.00",".00","100.00","1097.08","","{BC5740F9-4FC5-EB33-6758-A9925A57323A}"
"427489","491364","52.74",".00",".00",".00",".00","52.74",".00",".00",".00",".00","52.74",".00","52.74",".00",".00",".00","52.74",".00",".00",".00","52.74","","{B4D19124-04F7-FB29-5EB2-B6BFA697F4C9}"
"427492","491367","906.35",".00",".45",".00",".45","906.80",".00",".00",".00",".00","906.80",".00","906.35",".00",".45",".45","906.80",".00",".00",".00","906.80","","{156ED184-E2BB-0A42-FFF6-7819573BB69C}"
"427494","491369","9.51",".00",".00",".00",".00","9.51",".00",".00",".00",".00","9.51",".00","9.51",".00",".00",".00","9.51",".00",".00",".00","9.51","","{C1B945DF-0E50-3A71-53EF-A186E58A8F4B}"
"427495","491370","9.51",".00",".00",".00",".00","9.51",".00",".00",".00",".00","9.51",".00","9.51",".00",".00",".00","9.51",".00",".00",".00","9.51","","{C1B945DF-0E50-3A71-53EF-A186E58A8F4B}"
"427496","491371","2579.37",".00",".00",".00",".00","2579.37",".00",".00",".00",".00","2579.37",".00","2725.78","135.00",".00","135.00","2860.78","281.41",".00","281.41","2579.37","","{D5CDDE8F-4808-9F33-2C08-0E843DA68EE9}"
"427498","491374","100026.43","24756.40",".00",".00","24756.40","124782.83","24756.40",".00",".00","24756.40","100026.43",".00","100026.43",".00","24756.40","24756.40","124782.83",".00","24756.40","24756.40","100026.43","","{33720F9E-6D26-2A9C-39B2-FEBE40C9D2C8}"
"427504","491380","22017.28",".00",".00",".00",".00","22017.28","500.00",".00",".00","500.00","21517.28",".00","22017.28",".00",".00",".00","22017.28",".00","500.00","500.00","21517.28","","{9AAF57D3-38DE-0EC4-D0F6-CB484CDF49A6}"
"427506","491383","33.03","2.00",".00",".00","2.00","35.03",".00",".00",".00",".00","35.03",".00","29.03","4.00","2.00","6.00","35.03",".00",".00",".00","35.03","","{20F276B0-169A-44B9-4C5C-146E6F924454}"
"427508","491385","99548.70","77835.00",".00",".00","77835.00","177383.70","26394.99",".00",".00","26394.99","150988.71",".00","99548.70",".00","77835.00","77835.00","177383.70",".00","26394.99","26394.99","150988.71","","{2F120442-72C5-9668-AA31-528174D27C27}"
"427509","491386","310.83",".00",".00",".00",".00","310.83",".00",".00",".00",".00","310.83","3700.00","310.83",".00",".00",".00","310.83",".00",".00",".00","310.83","","{B591B1B3-9D67-75E2-21BE-C6D2E8CA500E}"
"427510","491387","271.58",".00",".00",".00",".00","271.58","271.58",".00",".00","271.58",".00",".00","453.58",".00",".00",".00","453.58","182.00","271.58","453.58",".00","","{3DABB255-66F1-0BE0-B8F7-5B448C4A0D9B}"
"427513","491390",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{F514073B-168F-72F3-9A69-802B123F87C4}"
"427523","491402","1687.11",".00",".00",".00",".00","1687.11",".00",".00",".00",".00","1687.11",".00","1687.11",".00",".00",".00","1687.11",".00",".00",".00","1687.11","","{A19AAEF9-E1E3-E8CD-3DEF-FF241C21CE66}"
"427524","491403","328.28",".00",".00",".00",".00","328.28","328.28",".00",".00","328.28",".00",".00","328.28",".00",".00",".00","328.28",".00","328.28","328.28",".00","","{96EA3AC8-E214-BC2A-8810-5E4B948AFC0C}"
"427525","491404","493599.67","7415.00",".00",".00","7415.00","501014.67","275388.76","55000.00",".00","330388.76","170625.91",".00","689.81","544748.79","7415.00","552163.79","552853.60","51838.93","330388.76","382227.69","170625.91","","{61111CD4-E8F7-6360-42DC-8D9D5DC22960}"
"427526","491405","3517.36",".00",".00",".00",".00","3517.36",".00",".00",".00",".00","3517.36",".00","3517.36",".00",".00",".00","3517.36",".00",".00",".00","3517.36","","{32295207-6B40-A64D-D55C-FD911C591FD1}"
"427528","491407","42.39",".00",".00",".00",".00","42.39",".00",".00",".00",".00","42.39",".00","33.59","28.80",".00","28.80","62.39","20.00",".00","20.00","42.39","","{64EB2524-C4DF-D8AE-32E7-E5FCEE4A690D}"
"427531","491410","36.40","955.68",".00",".00","955.68","992.08","511.83",".00",".00","511.83","480.25",".00",".00","1111.01","955.68","2066.69","2066.69","1074.61","511.83","1586.44","480.25","","{D7199A1B-7F6C-40D2-0961-879DE3B3BBE9}"
"427532","491411","1520.56",".00",".00",".00",".00","1520.56",".00",".00",".00",".00","1520.56",".00","1520.56",".00",".00",".00","1520.56",".00",".00",".00","1520.56","","{07519944-C722-333F-2DB7-FAF99889C643}"
"427534","491413",".00","5302.81",".00","172.50","5475.31","5475.31","3028.24","436.10",".00","3464.34","2010.97","336.00",".00","599.60","5475.31","6074.91","6074.91","599.60","3464.34","4063.94","2010.97","","{FB8FBBB9-33FC-AE10-C366-D59E8B35DA84}"
"427536","491415","3320.82",".00",".00",".00",".00","3320.82",".00",".00",".00",".00","3320.82",".00","9928.35","500.00",".00","500.00","10428.35","7107.53",".00","7107.53","3320.82","","{B941CFBF-BD6C-1463-393B-7A10D2147D85}"
"427537","491417","7190.50",".00",".00",".00",".00","7190.50",".00",".00",".00",".00","7190.50","269.91","9864.56","308.93",".00","308.93","10173.49","2982.99",".00","2982.99","7190.50","","{10F01954-A50B-9F7B-B6A9-AA704640FD0F}"
"427539","491418","3013.91",".00",".00",".00",".00","3013.91",".00",".00",".00",".00","3013.91","3000.00","3641.91",".00",".00",".00","3641.91","628.00",".00","628.00","3013.91","","{DF4C14BC-C78F-FA47-04FD-73A9757DEABF}"
"427541","491420","77083.97","4561.20",".00",".00","4561.20","81645.17","58277.84",".00",".00","58277.84","23367.33",".00",".00","149291.31","4561.20","153852.51","153852.51","72207.34","58277.84","130485.18","23367.33","","{9BE84C27-D374-9B0F-AA27-5386298C509C}"
"427548","491427","10325.03","4752.00",".00",".00","4752.00","15077.03","10310.70",".00",".00","10310.70","4766.33",".00","10325.03",".00","4752.00","4752.00","15077.03",".00","10310.70","10310.70","4766.33","","{7F57753F-7D78-ED77-D1CE-8DF76D02B531}"
"427549","491428","1436.13",".00",".00",".00",".00","1436.13","426.80",".00",".00","426.80","1009.33",".00","2399.67",".00",".00",".00","2399.67","963.54","426.80","1390.34","1009.33","","{5C7796C8-647A-9DCA-C81F-A5C36F0FE6E3}"
"427551","491432","100.00",".00",".00",".00",".00","100.00",".00",".00",".00",".00","100.00",".00","100.00",".00",".00",".00","100.00",".00",".00",".00","100.00","","{8444E14D-8A4E-5FF5-7A44-BF9F9D121526}"
"427552","491431","2997.57","6420.44",".00",".00","6420.44","9418.01",".57","9417.44",".00","9418.01",".00",".00","2997.57",".00","6420.44","6420.44","9418.01",".00","9418.01","9418.01",".00","","{78D5AEB5-7C53-0666-BDB2-3B1A1092E298}"
"427553","491433","3232.67",".00",".00",".00",".00","3232.67",".00",".00",".00",".00","3232.67",".00","3682.67",".00",".00",".00","3682.67","450.00",".00","450.00","3232.67","","{50A81820-2311-B1F8-196A-A3A69C0642A9}"
"427555","491435","1914.58",".00",".00",".00",".00","1914.58",".00",".00",".00",".00","1914.58",".00","2211.33","25.00",".00","25.00","2236.33","321.75",".00","321.75","1914.58","","{9F37FC77-6DF7-D095-1EB7-96FA5395646E}"
"427564","491444","3833.37","2100.00","172.85",".00","2272.85","6106.22","3057.84",".00",".00","3057.84","3048.38",".00",".00","3848.37","2272.85","6121.22","6121.22","15.00","3057.84","3072.84","3048.38","","{211D9544-3A39-1375-2C10-4E2F7CD4B0B0}"
