"ReportId","CommitteeContactId","FirstName","MiddleName","LastOrCompanyName","Prefix","Suffix","AddressLine1","AddressLine2","City","StateCode","ZipCode","IsIndividual","TransactionDate","Amount","ScheduleCId","ReceiptType","ScheduleId","ReportUID"
"433188","1134229","","","Best Buy","","","217 S Independence Blvd,","","Virginia Beach","VA","23462","False","12/09/2024","137.79","85503","scanner not working properly","","{24715D99-CAFF-527D-1323-EFB5F826A5C0}"
"433188","1194826","","","MalwareBytes","","","3979 Freedom Circle","12th Floor","Santa Clara","CA","95054","False","12/06/2024","44.99","85504","not satisfied with product","","{24715D99-CAFF-527D-1323-EFB5F826A5C0}"
"433204","","","","Creatopy","","","8 The Grn","Ste R","Dover","DE","19901-3618","False","01/03/2024","65.00","85505","Refunded Charge","","{9B2225F5-C233-3223-F1C4-B15E653D06BD}"
"433204","","","","Walmart","","","731 E Rochambeau Dr","","Williamsburg","VA","23188-2187","False","01/17/2024","162.55","85506","Refund for non-purchase","","{9B2225F5-C233-3223-F1C4-B15E653D06BD}"
"433327","508626","","","Baylands Family Credit Union","","","2004 Main St.","","West Point","VA","23181","False","01/01/2025",".02","85550","Bank interest","","{6FA1FED2-5ADE-1BB2-C702-33A1F1D60F7F}"
"433406","986219","","","Chain Bridge Bank, NA","","","1445A Laughlin Ave","","McLean","VA","22101","False","12/31/2023","10.55","85572","Bank Fee Refund","","{91161C60-8002-45AA-5506-DA6D85963F35}"
"433424","1057055","","","Dupont Community Credit Union","","","1820 S High Street","","Harrisonburg","VA","22801","False","01/31/2025",".01","85581","Interest","","{B7993FF0-76D3-A2DB-351C-E2C54AC3D10C}"
"433435","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","07/15/2022","117.70","85584","Refund","","{D2EF825D-B78B-7E19-E646-3F36CBEC1C4B}"
"433438","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","06/05/2023","498.21","85585","Refund","","{E302A734-B639-1D81-FBC7-6222295BA006}"
"433438","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","06/05/2023","78.86","85586","Refund","","{E302A734-B639-1D81-FBC7-6222295BA006}"
"433440","980189","","","Portsmouth City Treasurer","","","801 Crawford St","UNIT C","Portsmouth","VA","23704","False","07/11/2023","352.80","85587","Refund of Filing Fee","","{72E0120D-E657-67EF-29D4-83BF9AC2E9F8}"
"433444","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","12/19/2023","37.15","85588","Travel Expense","","{760D5C38-E8C3-1835-1840-2DE1D5BCAAB1}"
"433445","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","01/25/2024","757.20","85589","Travel Refund","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","01/29/2024","1908.10","85590","Travel Refund","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","03/25/2024","26.37","85591","Refund","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","963443","","","Amazon.com Services","","","PO Box 80863","","Seattle","WA","98108","False","02/27/2024","127.16","85592","Return","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","963443","","","Amazon.com Services","","","PO Box 80863","","Seattle","WA","98108","False","02/27/2024","95.37","85593","Return","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","963443","","","Amazon.com Services","","","PO Box 80863","","Seattle","WA","98108","False","03/08/2024","125.48","85594","Return","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433445","963443","","","Amazon.com Services","","","PO Box 80863","","Seattle","WA","98108","False","03/08/2024","95.37","85595","Return","","{7F81782F-03B8-78CC-E9E9-2DC3A7F14874}"
"433446","914415","","","American Airlines","","","P.O. Box 619616","","DFW Airport","TX","75261-9616","False","08/08/2024","1185.43","85596","Travel Expense Refund","","{6C877670-A297-9D25-D0F8-9BC3CFC3DF65}"
