"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"329306","370502","7696.30","9924.81",".00",".00","9924.81","17621.11","14174.28",".00",".00","14174.28","3446.83","100.00",".00","11786.60","9924.81","21711.41","21711.41","4090.30","14174.28","18264.58","3446.83","","{AA898B89-4E78-90EE-0E5A-E5297D06726D}"
"346711","392324","4163.92",".00",".00",".00",".00","4163.92",".00",".00",".00",".00","4163.92",".00",".00","39422.70",".00","39422.70","39422.70","35258.78",".00","35258.78","4163.92","","{37FA874D-BBA6-E6D6-5C28-55EE7CA2BDA6}"
"351632","397867","728.80","5946.90",".00",".00","5946.90","6675.70","1724.67",".00",".00","1724.67","4951.03",".00","6661.95","2025.94","5946.90","7972.84","14634.79","7959.09","1724.67","9683.76","4951.03","","{79B0125D-5398-1991-E99C-B20520FD2E49}"
"360700","407993","53228.91",".00",".00",".00",".00","53228.91",".00",".00",".00",".00","53228.91",".00","53228.91",".00",".00",".00","53228.91",".00",".00",".00","53228.91","","{9395937F-6290-D422-83F1-90F531206C12}"
"364525","412480","2117.07",".00",".00",".00",".00","2117.07","2117.07",".00",".00","2117.07",".00",".00","6797.49",".00",".00",".00","6797.49","4680.42","2117.07","6797.49",".00","","{8A1EE80F-D54B-F37F-6A67-2B12D52BFE67}"
"366943","415288","1437.60",".00",".00",".00",".00","1437.60","100.00",".00","1337.60","1437.60",".00",".00","1437.60",".00",".00",".00","1437.60",".00","1437.60","1437.60",".00","","{556A26B0-494F-03D6-3356-86674F1C44A5}"
"367060","415556","1383.01","744.30",".00",".00","744.30","2127.31","10.90",".00",".00","10.90","2116.41",".00",".00","1938.99","744.30","2683.29","2683.29","555.98","10.90","566.88","2116.41","","{25894BC6-D0E2-9F4B-CCF0-671C8152C577}"
"367061","415557","9910.26",".00",".06",".00",".06","9910.32","330.00",".00",".00","330.00","9580.32",".00","25483.22","696.94",".06","697.00","26180.22","16269.90","330.00","16599.90","9580.32","","{C6784CD9-8273-ADCD-D25A-EADFDF8D2EF1}"
"367062","415558","1650.20","949.50",".00",".00","949.50","2599.70","100.00",".00",".00","100.00","2499.70",".00","1768.53","331.67","949.50","1281.17","3049.70","450.00","100.00","550.00","2499.70","","{7AA48F3C-B9B5-5F5C-97F3-7374893FBA53}"
"367065","415562","4153.67","2546.00",".00",".00","2546.00","6699.67","2954.21",".00",".00","2954.21","3745.46",".00","2050.16","2959.35","2546.00","5505.35","7555.51","855.84","2954.21","3810.05","3745.46","","{813855D2-245F-4450-4382-6F8F1F50EFB6}"
