"ReportId","CommitteeContactId","FirstName","MiddleName","LastOrCompanyName","Prefix","Suffix","AddressLine1","AddressLine2","City","StateCode","ZipCode","IsIndividual","TransactionDate","Amount","ScheduleCId","ReceiptType","ScheduleId","ReportUID"
"217224","698059","","","ATLANTIC UNION BANK","","","4108 PORTSMOUTH BOULEVARD","","CHESAPEAKE","VA","23321","False","07/31/2020",".10","51752","INTEREST","","{246D2657-9B5B-71D1-2BF0-4CA3FC231619}"
"217224","698059","","","ATLANTIC UNION BANK","","","4108 PORTSMOUTH BOULEVARD","","CHESAPEAKE","VA","23321","False","08/31/2020",".06","51753","INTEREST","","{246D2657-9B5B-71D1-2BF0-4CA3FC231619}"
"217224","707473","","","BUILDASIGN.COM","","","11525A STONEHOLLOW DRIVE","SUITE 100","AUSTIN","TX","78758","False","08/26/2020","300.00","51754","OVERCHARGE","","{246D2657-9B5B-71D1-2BF0-4CA3FC231619}"
"217229","698060","","","ATLANTIC UNION BANK","","","4108 PORTSMOUTH BOULEVARD","","CHESAPEAKE","VA","23321","False","07/31/2020",".01","51759","INTEREST","","{6734F7D5-0C39-2EFE-6B9B-269601C85321}"
"217229","698060","","","ATLANTIC UNION BANK","","","4108 PORTSMOUTH BOULEVARD","","CHESAPEAKE","VA","23321","False","08/31/2020",".01","51760","INTEREST","","{6734F7D5-0C39-2EFE-6B9B-269601C85321}"
"217318","105333","","","Wells Fargo Bank","","","P.O. Box 6995","","Portland Oregon","VA","97228","False","08/31/2020",".08","51788","interest","","{65BDBFBC-4BB5-2721-F555-739CAC110B02}"
"217323","686880","","","Bank of the James","","","828 Main Str","","Lynchburg","VA","24504","False","07/10/2020","1.17","51790","Interest Income","","{D345857E-0A6A-1CC8-8577-E1833C6AD8DA}"
"217323","686880","","","Bank of the James","","","828 Main Str","","Lynchburg","VA","24504","False","08/10/2020","1.51","51791","Interest Income","","{D345857E-0A6A-1CC8-8577-E1833C6AD8DA}"
"217377","683892","","","CRAZY CHEAP POLITICAL SIGNS","","","11525A STONEHOLLOW DR","SUITE 100","AUSTIN","TX","78758","False","08/12/2020","304.76","51795","ERROR ON SIGNS","","{B6AE2BEE-989A-26F0-C1AD-38821ACAFE12}"
"217377","698142","","","AZTEC RENTAL","","","2069 APPERSON DR","","SALEM","VA","24153","False","07/06/2020","20.00","51796","DIDN'T GET ITEMS","","{B6AE2BEE-989A-26F0-C1AD-38821ACAFE12}"
"217563","706097","","","First Bank","","","1835 Valley Avenue","","Winchester","VA","22601","False","07/16/2020","2.00","51800","First Bank Paper Statement Service Charge Refund","","{80E3837D-EFE9-4827-D832-3311CDD395EF}"
"217689","202490","","","Frys Spring Beach Club","","","2512 Jefferson Park Avenue","","Charlottesville","VA","22903","False","04/01/2020","650.00","51804","Event Cancellation","","{50751F89-B02A-778F-6266-5705E2BCECAC}"
"217809","700965","","","Towne Bank","","","PO Box 2818","","Norfolk","VA","23501-2818","False","07/31/2020",".04","51809","Interest","","{F2E354AD-631B-FE6B-B5B3-A28DC66368E8}"
"217867","709119","","","Google","","","1600 Ampitheatre Pkwy","","Mountain View","VA","94043","False","07/10/2020","12.00","51811","Refund of Purchase","","{BC8E5CAC-0FAB-4333-2EEB-B627182B707D}"
"217946","685868","","","Arlington Community Federal Credit Union","","","2130 N Glebe Road","","Arlington","VA","22207","False","06/30/2020",".18","51822","Interest","","{D9722892-67DD-E590-1DCB-04F8C44F7E8D}"
"217947","685868","","","Arlington Community Federal Credit Union","","","2130 N Glebe Road","","Arlington","VA","22207","False","07/31/2020",".20","51823","Interest","","{E5187752-6899-61DE-3630-EB1179B168AC}"
"217947","685868","","","Arlington Community Federal Credit Union","","","2130 N Glebe Road","","Arlington","VA","22207","False","08/31/2020",".20","51824","Interest","","{E5187752-6899-61DE-3630-EB1179B168AC}"
"217949","685868","","","Arlington Community Federal Credit Union","","","2130 N Glebe Road","","Arlington","VA","22207","False","07/31/2020",".20","51825","Interest","","{E5187752-6899-61DE-3630-EB1179B168AC}"
"217949","685868","","","Arlington Community Federal Credit Union","","","2130 N Glebe Road","","Arlington","VA","22207","False","08/31/2020",".20","51826","Interest","","{E5187752-6899-61DE-3630-EB1179B168AC}"
"217954","695927","","","Arlington Community Credit Union","","","5666 Columbia Pike","","Falls Church","VA","22041","False","01/31/2020",".15","51827","Interest on account","","{73B22A24-F999-BC37-C872-31FCCC61AA4C}"
"217954","695927","","","Arlington Community Credit Union","","","5666 Columbia Pike","","Falls Church","VA","22041","False","02/29/2020",".09","51828","Interest on account","","{73B22A24-F999-BC37-C872-31FCCC61AA4C}"
