"ReportId","ScheduleId","ScheduleIId","CommitteeContactId","FirstName","MiddleName","LastOrCompanyName","Prefix","Suffix","AddressLine1","AddressLine2","City","StateCode","ZipCode","IsIndividual","TransactionDate","Amount","AuthorizingName","TypeOfDisposition","ReportUID"
"344043","","3096","1047961","","","ShenValley Student Leadership Initiative, Inc","","","668 Stayman Road","","Quicksburg","VA","22847","False","08/14/2023","714.14","karen u. kwiatkowski","donation to charitable organizations (Shenandoah Valley Student Leadership Initiative, Inc)","{78B6866D-82F1-60DD-3540-C538BAD98C46}"
"344779","","3097","1026585","","","Goochland County Republican Committee","","","PO Box 637","","Goochland","VA","23063","False","06/15/2023","2000.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3098","1026587","","","Goochland Republican Women","","","PO Box 637","","Goochland","VA","23063","False","06/15/2023","500.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3099","1026589","","","Tom Winfree For Supervisor","","","1510 Shallow Well Road","","Manakin Sabot","VA","23103","False","06/20/2023","300.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3100","1051095","","","Jonathan Lyle for Supervisor","","","PO Box 311","","Manakin Sabot","VA","23103","False","07/06/2023","300.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3101","1051096","","","Ellen Robinson For School Board","","","PO Box 44","","Manakin Sabot","VA","23103","False","07/06/2023","200.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3102","1051097","","","Creasey for Sheriff","","","PO Box 843","","Goochland","VA","23063","False","07/24/2023","500.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3103","1051098","","","Friends of Jon Christy","","","2701 Davis Mill Road","","Goochland","VA","23063","False","07/24/2023","300.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3104","1051099","","","Spoonhower for Supervisor","","","2986 Willow Trace Lane","","Sandy Hook","VA","23153","False","07/24/2023","300.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3105","1051100","","","Friends of Vaughters for Supervisor","","","PO Box 71596","","Henrico","VA","23255","False","08/01/2023","300.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344779","","3106","1051101","","","Friends of David Owen","","","830 Woodcove Court","","Manakin Sabot","VA","23103","False","07/25/2023","200.00","Ken Peterson","Contribution of surplus funds","{62D6D645-7F8E-4B44-BF1F-37D957EF30AE}"
"344843","","3109","1026441","","","Friends of Delane Karalow","","","126 Emperor DR","","Lake Frederick","VA","22630","False","06/28/2023","1000.00","Mollie Brannon","Campaign Donation","{A5CF97CB-79ED-5A7E-419D-133955EC184F}"
"344843","","3110","1051333","","","Sturdivant for School Board","","","221 Aspen Trail","","Winchester","VA","22602","False","08/25/2023","268.20","Mollie Brannon","Campaign Donation","{A5CF97CB-79ED-5A7E-419D-133955EC184F}"
